id_transacao,id_cliente,data_transacao,valor_transacao,categoria_transacao,metodo_pagamento
73,565,2023-01-04 00:00:00,631.19,Educação,Cartão de Débito
74,898,2023-01-04 01:00:00,924.43,Saúde,Dinheiro
75,340,2023-01-04 02:00:00,997.54,Educação,Cartão de Débito
76,92,2023-01-04 03:00:00,42.13,Entretenimento,Dinheiro
77,367,2023-01-04 04:00:00,243.23,Alimentação,Transferência Bancária
78,956,2023-01-04 05:00:00,317.2,Alimentação,Cartão de Débito
79,455,2023-01-04 06:00:00,405.13,Entretenimento,Transferência Bancária
80,428,2023-01-04 07:00:00,249.83,Transporte,Transferência Bancária
81,509,2023-01-04 08:00:00,211.45,Entretenimento,Dinheiro
82,776,2023-01-04 09:00:00,955.01,Alimentação,Cartão de Débito
83,943,2023-01-04 10:00:00,919.34,Saúde,Cartão de Crédito
84,35,2023-01-04 11:00:00,56.52,Transporte,Cartão de Crédito
85,206,2023-01-04 12:00:00,345.42,Educação,Cartão de Crédito
86,81,2023-01-04 13:00:00,411.1,Saúde,Cartão de Crédito
87,932,2023-01-04 14:00:00,246.62,Transporte,Dinheiro
88,562,2023-01-04 15:00:00,632.58,Alimentação,Transferência Bancária
89,872,2023-01-04 16:00:00,643.98,Alimentação,Cartão de Débito
90,388,2023-01-04 17:00:00,852.0,Saúde,Dinheiro
91,2,2023-01-04 18:00:00,743.46,Transporte,Cartão de Crédito
92,390,2023-01-04 19:00:00,547.15,Educação,Cartão de Débito
93,566,2023-01-04 20:00:00,657.05,Educação,Dinheiro
94,106,2023-01-04 21:00:00,281.25,Entretenimento,Transferência Bancária
95,772,2023-01-04 22:00:00,597.13,Saúde,Cartão de Crédito
96,822,2023-01-04 23:00:00,494.33,Transporte,Cartão de Débito
97,477,2023-01-05 00:00:00,142.01,Saúde,Cartão de Débito
98,703,2023-01-05 01:00:00,250.12,Educação,Cartão de Crédito
99,402,2023-01-05 02:00:00,298.78,Transporte,Transferência Bancária
100,730,2023-01-05 03:00:00,925.07,Alimentação,Cartão de Crédito
101,556,2023-01-05 04:00:00,238.08,Alimentação,Transferência Bancária
102,162,2023-01-05 05:00:00,296.35,Transporte,Cartão de Débito
103,202,2023-01-05 06:00:00,375.66,Saúde,Cartão de Crédito
104,958,2023-01-05 07:00:00,667.11,Saúde,Transferência Bancária
105,996,2023-01-05 08:00:00,127.06,Alimentação,Transferência Bancária
106,270,2023-01-05 09:00:00,954.41,Alimentação,Dinheiro
107,863,2023-01-05 10:00:00,866.92,Educação,Transferência Bancária
108,816,2023-01-05 11:00:00,581.44,Transporte,Cartão de Crédito
109,271,2023-01-05 12:00:00,677.3,Saúde,Cartão de Crédito
110,456,2023-01-05 13:00:00,26.49,Educação,Transferência Bancária
111,462,2023-01-05 14:00:00,345.56,Saúde,Cartão de Crédito
112,727,2023-01-05 15:00:00,797.7,Alimentação,Cartão de Débito
113,252,2023-01-05 16:00:00,86.71,Transporte,Cartão de Débito
114,702,2023-01-05 17:00:00,289.49,Entretenimento,Cartão de Crédito
115,296,2023-01-05 18:00:00,589.44,Transporte,Transferência Bancária
116,725,2023-01-05 19:00:00,263.85,Entretenimento,Cartão de Débito
117,720,2023-01-05 20:00:00,934.64,Educação,Transferência Bancária
118,749,2023-01-05 21:00:00,139.75,Entretenimento,Cartão de Crédito
119,338,2023-01-05 22:00:00,799.42,Entretenimento,Dinheiro
120,879,2023-01-05 23:00:00,512.87,Educação,Cartão de Débito
121,53,2023-01-06 00:00:00,752.83,Transporte,Cartão de Crédito
122,792,2023-01-06 01:00:00,317.61,Educação,Cartão de Débito
123,922,2023-01-06 02:00:00,519.34,Alimentação,Transferência Bancária
124,217,2023-01-06 03:00:00,858.27,Alimentação,Dinheiro
125,764,2023-01-06 04:00:00,472.21,Entretenimento,Dinheiro
126,188,2023-01-06 05:00:00,366.12,Educação,Cartão de Crédito
127,380,2023-01-06 06:00:00,540.79,Educação,Cartão de Débito
128,493,2023-01-06 07:00:00,720.19,Educação,Dinheiro
129,41,2023-01-06 08:00:00,449.13,Transporte,Cartão de Débito
130,157,2023-01-06 09:00:00,939.49,Saúde,Transferência Bancária
131,15,2023-01-06 10:00:00,302.0,Saúde,Transferência Bancária
132,813,2023-01-06 11:00:00,480.71,Saúde,Cartão de Crédito
133,65,2023-01-06 12:00:00,759.36,Transporte,Dinheiro
134,857,2023-01-06 13:00:00,692.23,Educação,Dinheiro
135,839,2023-01-06 14:00:00,865.0,Saúde,Cartão de Débito
136,521,2023-01-06 15:00:00,996.84,Educação,Transferência Bancária
137,344,2023-01-06 16:00:00,432.59,Entretenimento,Dinheiro
138,129,2023-01-06 17:00:00,120.04,Saúde,Cartão de Crédito
139,648,2023-01-06 18:00:00,40.11,Entretenimento,Cartão de Crédito
140,472,2023-01-06 19:00:00,729.61,Transporte,Dinheiro
141,63,2023-01-06 20:00:00,875.27,Alimentação,Cartão de Crédito
142,139,2023-01-06 21:00:00,228.51,Transporte,Dinheiro
143,499,2023-01-06 22:00:00,166.86,Transporte,Dinheiro
144,593,2023-01-06 23:00:00,71.58,Transporte,Dinheiro
145,392,2023-01-07 00:00:00,824.48,Saúde,Dinheiro
146,675,2023-01-07 01:00:00,318.27,Entretenimento,Cartão de Débito
147,419,2023-01-07 02:00:00,407.68,Saúde,Dinheiro
148,289,2023-01-07 03:00:00,507.72,Alimentação,Cartão de Crédito
149,379,2023-01-07 04:00:00,841.06,Transporte,Transferência Bancária
150,773,2023-01-07 05:00:00,654.32,Educação,Cartão de Débito
151,490,2023-01-07 06:00:00,618.91,Alimentação,Transferência Bancária
152,231,2023-01-07 07:00:00,183.92,Entretenimento,Transferência Bancária
153,41,2023-01-07 08:00:00,518.06,Alimentação,Transferência Bancária
154,28,2023-01-07 09:00:00,718.23,Saúde,Transferência Bancária
155,135,2023-01-07 10:00:00,973.53,Educação,Transferência Bancária
156,201,2023-01-07 11:00:00,209.39,Saúde,Cartão de Crédito
157,840,2023-01-07 12:00:00,19.45,Transporte,Dinheiro
158,780,2023-01-07 13:00:00,84.55,Transporte,Cartão de Crédito
159,930,2023-01-07 14:00:00,382.09,Alimentação,Cartão de Débito
160,33,2023-01-07 15:00:00,822.34,Transporte,Cartão de Crédito
161,48,2023-01-07 16:00:00,17.07,Transporte,Cartão de Débito
162,503,2023-01-07 17:00:00,462.16,Entretenimento,Dinheiro
163,407,2023-01-07 18:00:00,335.94,Entretenimento,Transferência Bancária
164,574,2023-01-07 19:00:00,61.96,Saúde,Dinheiro
165,728,2023-01-07 20:00:00,455.73,Saúde,Cartão de Crédito
166,805,2023-01-07 21:00:00,262.2,Entretenimento,Cartão de Crédito
167,99,2023-01-07 22:00:00,358.37,Alimentação,Dinheiro
168,684,2023-01-07 23:00:00,708.56,Entretenimento,Dinheiro
169,872,2023-01-08 00:00:00,526.34,Saúde,Cartão de Crédito
170,726,2023-01-08 01:00:00,133.4,Educação,Dinheiro
171,987,2023-01-08 02:00:00,961.8,Transporte,Cartão de Débito
172,547,2023-01-08 03:00:00,639.55,Educação,Cartão de Débito
173,961,2023-01-08 04:00:00,768.21,Educação,Cartão de Crédito
174,739,2023-01-08 05:00:00,88.42,Transporte,Cartão de Crédito
175,613,2023-01-08 06:00:00,56.59,Entretenimento,Dinheiro
176,943,2023-01-08 07:00:00,29.25,Alimentação,Dinheiro
177,462,2023-01-08 08:00:00,196.91,Educação,Transferência Bancária
178,643,2023-01-08 09:00:00,420.26,Alimentação,Cartão de Débito
179,769,2023-01-08 10:00:00,936.47,Saúde,Cartão de Crédito
180,5,2023-01-08 11:00:00,462.49,Educação,Cartão de Crédito
181,218,2023-01-08 12:00:00,297.35,Saúde,Cartão de Crédito
182,503,2023-01-08 13:00:00,566.32,Entretenimento,Cartão de Crédito
183,767,2023-01-08 14:00:00,120.82,Educação,Transferência Bancária
184,398,2023-01-08 15:00:00,613.41,Saúde,Cartão de Débito
185,871,2023-01-08 16:00:00,572.75,Saúde,Transferência Bancária
186,795,2023-01-08 17:00:00,794.07,Entretenimento,Cartão de Débito
187,393,2023-01-08 18:00:00,986.82,Alimentação,Cartão de Crédito
188,207,2023-01-08 19:00:00,258.36,Alimentação,Cartão de Débito
189,15,2023-01-08 20:00:00,514.56,Educação,Cartão de Crédito
190,858,2023-01-08 21:00:00,909.78,Entretenimento,Transferência Bancária
191,554,2023-01-08 22:00:00,787.34,Educação,Cartão de Débito
192,892,2023-01-08 23:00:00,492.53,Alimentação,Dinheiro
193,461,2023-01-09 00:00:00,945.92,Entretenimento,Cartão de Débito
194,691,2023-01-09 01:00:00,66.66,Transporte,Cartão de Crédito
195,575,2023-01-09 02:00:00,931.69,Entretenimento,Dinheiro
196,864,2023-01-09 03:00:00,60.0,Entretenimento,Cartão de Crédito
197,743,2023-01-09 04:00:00,551.83,Transporte,Dinheiro
198,241,2023-01-09 05:00:00,891.54,Saúde,Dinheiro
199,564,2023-01-09 06:00:00,270.09,Saúde,Cartão de Débito
200,96,2023-01-09 07:00:00,477.53,Saúde,Cartão de Débito
201,900,2023-01-09 08:00:00,331.09,Alimentação,Dinheiro
202,734,2023-01-09 09:00:00,952.62,Entretenimento,Dinheiro
203,485,2023-01-09 10:00:00,825.41,Transporte,Dinheiro
204,407,2023-01-09 11:00:00,711.91,Alimentação,Cartão de Crédito
205,231,2023-01-09 12:00:00,591.75,Transporte,Cartão de Débito
206,749,2023-01-09 13:00:00,822.39,Alimentação,Cartão de Crédito
207,655,2023-01-09 14:00:00,398.34,Alimentação,Cartão de Débito
208,171,2023-01-09 15:00:00,453.08,Alimentação,Transferência Bancária
209,541,2023-01-09 16:00:00,732.7,Transporte,Cartão de Crédito
210,36,2023-01-09 17:00:00,364.18,Educação,Cartão de Débito
211,525,2023-01-09 18:00:00,73.26,Alimentação,Dinheiro
212,160,2023-01-09 19:00:00,83.59,Saúde,Dinheiro
213,839,2023-01-09 20:00:00,124.21,Entretenimento,Cartão de Débito
214,699,2023-01-09 21:00:00,870.98,Educação,Dinheiro
215,243,2023-01-09 22:00:00,477.5,Educação,Dinheiro
216,86,2023-01-09 23:00:00,715.75,Transporte,Transferência Bancária
217,796,2023-01-10 00:00:00,398.98,Educação,Transferência Bancária
218,578,2023-01-10 01:00:00,266.12,Transporte,Transferência Bancária
219,682,2023-01-10 02:00:00,353.72,Transporte,Cartão de Crédito
220,557,2023-01-10 03:00:00,796.24,Saúde,Transferência Bancária
221,574,2023-01-10 04:00:00,628.96,Alimentação,Transferência Bancária
222,953,2023-01-10 05:00:00,938.26,Educação,Transferência Bancária
223,646,2023-01-10 06:00:00,682.91,Alimentação,Cartão de Débito
224,796,2023-01-10 07:00:00,574.48,Alimentação,Dinheiro
225,28,2023-01-10 08:00:00,614.09,Alimentação,Cartão de Débito
226,620,2023-01-10 09:00:00,942.95,Transporte,Transferência Bancária
227,556,2023-01-10 10:00:00,790.32,Alimentação,Cartão de Crédito
228,340,2023-01-10 11:00:00,33.8,Educação,Cartão de Débito
229,798,2023-01-10 12:00:00,538.8,Transporte,Transferência Bancária
230,958,2023-01-10 13:00:00,691.46,Educação,Cartão de Crédito
231,331,2023-01-10 14:00:00,751.21,Transporte,Cartão de Crédito
232,640,2023-01-10 15:00:00,221.01,Entretenimento,Cartão de Crédito
233,506,2023-01-10 16:00:00,868.51,Entretenimento,Dinheiro
234,348,2023-01-10 17:00:00,956.28,Entretenimento,Cartão de Crédito
235,473,2023-01-10 18:00:00,244.35,Entretenimento,Transferência Bancária
236,231,2023-01-10 19:00:00,883.79,Transporte,Cartão de Débito
237,190,2023-01-10 20:00:00,106.01,Alimentação,Cartão de Débito
238,225,2023-01-10 21:00:00,65.15,Saúde,Transferência Bancária
239,385,2023-01-10 22:00:00,137.93,Saúde,Dinheiro
240,377,2023-01-10 23:00:00,67.16,Entretenimento,Dinheiro
241,283,2023-01-11 00:00:00,846.56,Alimentação,Cartão de Crédito
242,958,2023-01-11 01:00:00,68.46,Educação,Transferência Bancária
243,633,2023-01-11 02:00:00,278.95,Alimentação,Cartão de Crédito
244,628,2023-01-11 03:00:00,112.72,Educação,Cartão de Crédito
245,973,2023-01-11 04:00:00,302.47,Saúde,Transferência Bancária
246,745,2023-01-11 05:00:00,99.65,Alimentação,Dinheiro
247,259,2023-01-11 06:00:00,671.32,Alimentação,Dinheiro
248,359,2023-01-11 07:00:00,141.99,Saúde,Cartão de Débito
249,710,2023-01-11 08:00:00,853.33,Alimentação,Transferência Bancária
250,456,2023-01-11 09:00:00,819.02,Educação,Cartão de Crédito
251,411,2023-01-11 10:00:00,23.53,Alimentação,Transferência Bancária
252,649,2023-01-11 11:00:00,896.77,Educação,Cartão de Crédito
253,318,2023-01-11 12:00:00,38.65,Entretenimento,Cartão de Débito
254,677,2023-01-11 13:00:00,247.25,Alimentação,Cartão de Débito
255,225,2023-01-11 14:00:00,42.07,Educação,Cartão de Débito
256,819,2023-01-11 15:00:00,342.49,Saúde,Cartão de Débito
257,234,2023-01-11 16:00:00,518.73,Entretenimento,Cartão de Crédito
258,684,2023-01-11 17:00:00,798.68,Alimentação,Dinheiro
259,664,2023-01-11 18:00:00,344.6,Educação,Cartão de Crédito
260,975,2023-01-11 19:00:00,708.44,Alimentação,Cartão de Débito
261,827,2023-01-11 20:00:00,195.63,Educação,Dinheiro
262,374,2023-01-11 21:00:00,753.09,Alimentação,Transferência Bancária
263,672,2023-01-11 22:00:00,243.64,Entretenimento,Cartão de Crédito
264,608,2023-01-11 23:00:00,152.11,Entretenimento,Transferência Bancária
265,472,2023-01-12 00:00:00,193.55,Alimentação,Cartão de Débito
266,233,2023-01-12 01:00:00,190.24,Alimentação,Transferência Bancária
267,692,2023-01-12 02:00:00,517.73,Transporte,Dinheiro
268,113,2023-01-12 03:00:00,846.35,Alimentação,Dinheiro
269,830,2023-01-12 04:00:00,88.81,Alimentação,Dinheiro
270,497,2023-01-12 05:00:00,709.89,Entretenimento,Cartão de Crédito
271,442,2023-01-12 06:00:00,657.8,Alimentação,Transferência Bancária
272,564,2023-01-12 07:00:00,873.79,Saúde,Transferência Bancária
273,268,2023-01-12 08:00:00,251.71,Alimentação,Transferência Bancária
274,510,2023-01-12 09:00:00,455.61,Transporte,Cartão de Débito
275,807,2023-01-12 10:00:00,926.57,Educação,Cartão de Crédito
276,386,2023-01-12 11:00:00,663.39,Entretenimento,Cartão de Crédito
277,387,2023-01-12 12:00:00,394.88,Saúde,Transferência Bancária
278,113,2023-01-12 13:00:00,140.1,Educação,Cartão de Crédito
279,613,2023-01-12 14:00:00,269.86,Saúde,Transferência Bancária
280,625,2023-01-12 15:00:00,585.4,Entretenimento,Transferência Bancária
281,952,2023-01-12 16:00:00,720.99,Transporte,Transferência Bancária
282,81,2023-01-12 17:00:00,133.18,Entretenimento,Dinheiro
283,699,2023-01-12 18:00:00,603.6,Saúde,Cartão de Débito
284,113,2023-01-12 19:00:00,554.85,Saúde,Cartão de Crédito
285,2,2023-01-12 20:00:00,518.82,Entretenimento,Cartão de Débito
286,642,2023-01-12 21:00:00,693.22,Alimentação,Dinheiro
287,220,2023-01-12 22:00:00,839.08,Entretenimento,Cartão de Crédito
288,566,2023-01-12 23:00:00,329.76,Transporte,Transferência Bancária
289,855,2023-01-13 00:00:00,890.12,Entretenimento,Cartão de Débito
290,997,2023-01-13 01:00:00,169.03,Educação,Dinheiro
291,736,2023-01-13 02:00:00,181.29,Alimentação,Cartão de Crédito
292,225,2023-01-13 03:00:00,274.1,Educação,Cartão de Crédito
293,385,2023-01-13 04:00:00,128.34,Entretenimento,Cartão de Débito
294,403,2023-01-13 05:00:00,238.02,Alimentação,Cartão de Débito
295,638,2023-01-13 06:00:00,115.35,Educação,Cartão de Crédito
296,130,2023-01-13 07:00:00,823.53,Educação,Cartão de Crédito
297,53,2023-01-13 08:00:00,147.58,Alimentação,Dinheiro
298,684,2023-01-13 09:00:00,749.82,Alimentação,Transferência Bancária
299,730,2023-01-13 10:00:00,57.43,Saúde,Transferência Bancária
300,672,2023-01-13 11:00:00,949.04,Alimentação,Dinheiro
301,710,2023-01-13 12:00:00,714.05,Entretenimento,Cartão de Crédito
302,416,2023-01-13 13:00:00,16.73,Transporte,Cartão de Débito
303,247,2023-01-13 14:00:00,766.22,Saúde,Cartão de Débito
304,836,2023-01-13 15:00:00,518.94,Alimentação,Cartão de Crédito
305,439,2023-01-13 16:00:00,781.57,Transporte,Dinheiro
306,203,2023-01-13 17:00:00,527.27,Saúde,Cartão de Crédito
307,184,2023-01-13 18:00:00,644.61,Entretenimento,Cartão de Débito
308,123,2023-01-13 19:00:00,788.47,Transporte,Cartão de Crédito
309,401,2023-01-13 20:00:00,411.06,Alimentação,Cartão de Crédito
310,767,2023-01-13 21:00:00,12.68,Alimentação,Dinheiro
311,294,2023-01-13 22:00:00,851.45,Entretenimento,Transferência Bancária
312,280,2023-01-13 23:00:00,387.08,Saúde,Cartão de Débito
313,837,2023-01-14 00:00:00,501.08,Transporte,Cartão de Débito
314,884,2023-01-14 01:00:00,17.69,Entretenimento,Cartão de Crédito
315,610,2023-01-14 02:00:00,497.17,Saúde,Cartão de Débito
316,198,2023-01-14 03:00:00,986.62,Educação,Cartão de Débito
317,982,2023-01-14 04:00:00,285.48,Educação,Transferência Bancária
318,907,2023-01-14 05:00:00,401.46,Saúde,Cartão de Débito
319,511,2023-01-14 06:00:00,690.32,Alimentação,Cartão de Débito
320,752,2023-01-14 07:00:00,816.65,Alimentação,Dinheiro
321,144,2023-01-14 08:00:00,423.22,Educação,Dinheiro
322,609,2023-01-14 09:00:00,316.57,Alimentação,Dinheiro
323,201,2023-01-14 10:00:00,938.45,Alimentação,Dinheiro
324,124,2023-01-14 11:00:00,680.37,Saúde,Dinheiro
325,187,2023-01-14 12:00:00,127.83,Saúde,Transferência Bancária
326,326,2023-01-14 13:00:00,78.24,Alimentação,Cartão de Débito
327,464,2023-01-14 14:00:00,488.71,Saúde,Cartão de Crédito
328,349,2023-01-14 15:00:00,227.89,Transporte,Transferência Bancária
329,771,2023-01-14 16:00:00,261.44,Educação,Cartão de Crédito
330,660,2023-01-14 17:00:00,878.92,Transporte,Dinheiro
331,764,2023-01-14 18:00:00,98.67,Transporte,Cartão de Débito
332,955,2023-01-14 19:00:00,718.21,Alimentação,Dinheiro
333,932,2023-01-14 20:00:00,278.43,Alimentação,Transferência Bancária
334,403,2023-01-14 21:00:00,762.72,Transporte,Cartão de Crédito
335,346,2023-01-14 22:00:00,725.19,Transporte,Cartão de Débito
336,963,2023-01-14 23:00:00,17.32,Entretenimento,Transferência Bancária
337,511,2023-01-15 00:00:00,514.04,Entretenimento,Transferência Bancária
338,147,2023-01-15 01:00:00,147.93,Educação,Cartão de Débito
339,148,2023-01-15 02:00:00,867.56,Transporte,Cartão de Débito
340,864,2023-01-15 03:00:00,872.87,Saúde,Transferência Bancária
341,711,2023-01-15 04:00:00,424.16,Entretenimento,Cartão de Crédito
342,820,2023-01-15 05:00:00,449.95,Alimentação,Cartão de Crédito
343,489,2023-01-15 06:00:00,310.25,Transporte,Transferência Bancária
344,929,2023-01-15 07:00:00,719.44,Saúde,Transferência Bancária
345,936,2023-01-15 08:00:00,365.07,Saúde,Dinheiro
346,640,2023-01-15 09:00:00,275.11,Saúde,Dinheiro
347,551,2023-01-15 10:00:00,437.91,Alimentação,Cartão de Crédito
348,338,2023-01-15 11:00:00,100.57,Entretenimento,Dinheiro
349,872,2023-01-15 12:00:00,749.14,Saúde,Cartão de Crédito
350,641,2023-01-15 13:00:00,22.47,Entretenimento,Cartão de Débito
351,779,2023-01-15 14:00:00,648.04,Educação,Dinheiro
352,988,2023-01-15 15:00:00,191.04,Alimentação,Cartão de Crédito
353,953,2023-01-15 16:00:00,240.08,Entretenimento,Cartão de Crédito
354,473,2023-01-15 17:00:00,639.28,Entretenimento,Transferência Bancária
355,946,2023-01-15 18:00:00,993.01,Saúde,Cartão de Crédito
356,151,2023-01-15 19:00:00,779.94,Saúde,Dinheiro
357,415,2023-01-15 20:00:00,233.58,Alimentação,Transferência Bancária
358,990,2023-01-15 21:00:00,184.26,Entretenimento,Transferência Bancária
359,298,2023-01-15 22:00:00,867.57,Transporte,Dinheiro
360,611,2023-01-15 23:00:00,449.74,Saúde,Cartão de Débito
361,263,2023-01-16 00:00:00,145.68,Saúde,Dinheiro
362,764,2023-01-16 01:00:00,863.59,Educação,Dinheiro
363,144,2023-01-16 02:00:00,817.93,Alimentação,Transferência Bancária
364,346,2023-01-16 03:00:00,984.07,Entretenimento,Dinheiro
365,624,2023-01-16 04:00:00,910.65,Entretenimento,Cartão de Débito
366,572,2023-01-16 05:00:00,853.27,Entretenimento,Cartão de Débito
367,881,2023-01-16 06:00:00,62.05,Saúde,Cartão de Débito
368,2,2023-01-16 07:00:00,113.37,Alimentação,Transferência Bancária
369,897,2023-01-16 08:00:00,573.29,Entretenimento,Dinheiro
370,304,2023-01-16 09:00:00,536.16,Transporte,Cartão de Crédito
371,254,2023-01-16 10:00:00,463.38,Educação,Dinheiro
372,652,2023-01-16 11:00:00,402.82,Educação,Cartão de Débito
373,453,2023-01-16 12:00:00,436.9,Entretenimento,Dinheiro
374,37,2023-01-16 13:00:00,573.6,Saúde,Transferência Bancária
375,160,2023-01-16 14:00:00,12.06,Educação,Dinheiro
376,9,2023-01-16 15:00:00,268.1,Educação,Transferência Bancária
377,233,2023-01-16 16:00:00,523.1,Educação,Cartão de Crédito
378,99,2023-01-16 17:00:00,724.99,Educação,Cartão de Crédito
379,659,2023-01-16 18:00:00,182.42,Entretenimento,Transferência Bancária
380,816,2023-01-16 19:00:00,551.41,Alimentação,Dinheiro
381,208,2023-01-16 20:00:00,717.32,Alimentação,Cartão de Débito
382,131,2023-01-16 21:00:00,450.18,Saúde,Transferência Bancária
383,404,2023-01-16 22:00:00,36.81,Transporte,Dinheiro
384,152,2023-01-16 23:00:00,454.78,Alimentação,Dinheiro
385,54,2023-01-17 00:00:00,303.48,Transporte,Dinheiro
386,120,2023-01-17 01:00:00,930.35,Alimentação,Cartão de Débito
387,673,2023-01-17 02:00:00,133.37,Alimentação,Cartão de Débito
388,920,2023-01-17 03:00:00,655.95,Saúde,Cartão de Débito
389,628,2023-01-17 04:00:00,62.19,Educação,Transferência Bancária
390,587,2023-01-17 05:00:00,451.71,Saúde,Transferência Bancária
391,625,2023-01-17 06:00:00,558.44,Alimentação,Cartão de Débito
392,968,2023-01-17 07:00:00,304.98,Educação,Transferência Bancária
393,420,2023-01-17 08:00:00,460.52,Educação,Cartão de Débito
394,422,2023-01-17 09:00:00,171.92,Educação,Transferência Bancária
395,104,2023-01-17 10:00:00,311.08,Transporte,Dinheiro
